 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
  23   1    -0.02  -0.00  -0.00    -0.01   0.01  -0.05    -0.00   0.02   0.00
  24   1    -0.02  -0.00   0.00     0.01   0.00   0.02    -0.01   0.02  -0.00
  25   6    -0.06  -0.01  -0.00    -0.00   0.01  -0.06    -0.01   0.06   0.01
  26   6    -0.06  -0.01  -0.00     0.02  -0.00  -0.11     0.00   0.07   0.03
  27   6    -0.06  -0.01  -0.00     0.02  -0.00  -0.10     0.01   0.06   0.03
  28   6    -0.06  -0.00  -0.00     0.01   0.01  -0.04     0.01   0.04   0.02
  29   7    -0.07  -0.00  -0.00    -0.01   0.02  -0.01     0.00   0.04   0.01
  30   6    -0.06  -0.00  -0.00    -0.01   0.02  -0.01    -0.01   0.04   0.01
  31   1    -0.02  -0.00  -0.00     0.01  -0.00  -0.04     0.00   0.02   0.01
  32   1    -0.02  -0.00  -0.00     0.01  -0.00  -0.04     0.01   0.02   0.01
  33   1    -0.02  -0.00  -0.00     0.00   0.00  -0.01     0.01   0.01   0.01
  34   1    -0.02  -0.00   0.00    -0.01   0.01   0.01    -0.00   0.01   0.00
  35   6     0.15   0.01   0.01     0.01   0.06  -0.03     0.10  -0.02  -0.01
  36   6     0.11   0.01   0.02     0.01   0.06  -0.03     0.14  -0.02  -0.02
  37   6     0.06   0.01   0.02     0.02   0.05  -0.04     0.16  -0.02  -0.02
  38   6     0.08   0.01   0.02     0.02   0.06  -0.05     0.32  -0.02  -0.01
  39   6     0.04   0.01   0.02     0.02   0.06  -0.06     0.30  -0.02  -0.00
  40   6    -0.02   0.01   0.02     0.02   0.04  -0.06     0.14  -0.02  -0.01
  41   7    -0.04   0.01   0.02     0.02   0.03  -0.05    -0.00  -0.02  -0.01
  42   6    -0.00   0.01   0.02     0.02   0.04  -0.04     0.01  -0.02  -0.02
  43   1     0.04   0.00   0.01     0.01   0.02  -0.01     0.13  -0.01  -0.00
  44   1     0.02   0.00   0.00     0.01   0.02  -0.02     0.12  -0.01   0.00
  45   1    -0.01   0.00   0.00     0.00   0.01  -0.02     0.03  -0.00  -0.00
  46   1    -0.01   0.00   0.01     0.01   0.01  -0.01    -0.03  -0.01  -0.01
  47   6     0.19   0.01  -0.00     0.00   0.06  -0.02     0.04  -0.02   0.00
  48   6     0.29   0.00  -0.04    -0.01   0.06  -0.02    -0.02  -0.04   0.02
  49   6     0.32  -0.00  -0.06    -0.01   0.06  -0.01    -0.09  -0.04   0.03
  50   6     0.26   0.00  -0.04    -0.02   0.06  -0.01    -0.11  -0.03   0.03
  51   6     0.16   0.01  -0.01    -0.01   0.06  -0.01    -0.05  -0.02   0.01
  52   6     0.13   0.01   0.01    -0.00   0.06  -0.02     0.02  -0.02  -0.00
  53   1     0.10  -0.00  -0.02    -0.00   0.02  -0.01    -0.00  -0.01   0.01
  54   1     0.11  -0.00  -0.03    -0.01   0.02  -0.00    -0.04  -0.01   0.01
  55   1     0.08   0.00  -0.02    -0.01   0.02  -0.00    -0.05  -0.01   0.01
  56   1     0.02   0.00   0.01     0.00   0.02  -0.01     0.02  -0.00  -0.01
  57   6     0.09   0.02   0.01    -0.02   0.05  -0.00    -0.06  -0.01   0.00
  58   6     0.11   0.02   0.04    -0.03   0.06   0.00    -0.11   0.00  -0.02
  59   6     0.05   0.03   0.05    -0.03   0.06   0.01    -0.10   0.01  -0.02
  60   6    -0.03   0.03   0.03    -0.02   0.04   0.02    -0.05  -0.01  -0.01
  61   7    -0.05   0.03   0.01    -0.01   0.03   0.01    -0.01  -0.02   0.01
  62   6     0.01   0.02  -0.00    -0.01   0.04  -0.00    -0.01  -0.02   0.01
  63   1     0.05   0.01   0.02    -0.01   0.02   0.00    -0.04   0.00  -0.01
  64   1     0.02   0.01   0.02    -0.01   0.02   0.01    -0.04   0.01  -0.01
  65   1    -0.02   0.01   0.01    -0.01   0.01   0.01    -0.01  -0.00  -0.00
  66   1    -0.00   0.01  -0.01     0.00   0.01  -0.00     0.01  -0.01   0.01
  67   6    -0.06   0.01  -0.03     0.01  -0.02   0.10    -0.03  -0.06   0.00
  68   6    -0.05   0.01  -0.02     0.02  -0.03   0.14    -0.02  -0.07  -0.00
  69   6    -0.05   0.00  -0.01     0.01  -0.03   0.15    -0.03  -0.06  -0.01
  70   6    -0.05   0.01  -0.02     0.01  -0.03   0.31    -0.05  -0.07  -0.00
  71   6    -0.05   0.00  -0.01     0.00  -0.03   0.30    -0.06  -0.06  -0.01
  72   6    -0.05   0.00   0.00     0.01  -0.02   0.13    -0.06  -0.05  -0.01
  73   7    -0.05   0.00   0.01     0.02  -0.02  -0.01    -0.05  -0.04  -0.02
  74   6    -0.05   0.00   0.00     0.02  -0.02   0.00    -0.03  -0.04  -0.01
  75   1    -0.01   0.00  -0.01     0.00  -0.01   0.13    -0.01  -0.02   0.00
  76   1    -0.01   0.00  -0.01    -0.00  -0.01   0.12    -0.02  -0.02  -0.00
  77   1    -0.01   0.00   0.00     0.00  -0.01   0.03    -0.02  -0.01  -0.00
  78   1    -0.02   0.00   0.00     0.01  -0.01  -0.03    -0.01  -0.01  -0.00
